A.txt	Ab.txt	Ac.txt	Ad.txt	Ae.txt	B.txt	Ba.txt	Bb.txt	Bd.txt	Be.txt	C.txt	Ca.txt	Cb.txt	Cc.txt	Cd.txt	Ce.txt	Cf.txt	Da.txt	E.txt	F.txt	G.txt	H.txt	I.txt	J.txt	K.txt	L.txt	M.txt	N.txt	O.txt	P.txt	R.txt	S.txt	T.txt	V.txt	W.txt	X.txt	Z.txt
sanoi	sanoi	sanoi	sanoi	sanoi	sanoi	sanoi	sanoi	Sanoi	Sanoi	sanoi		sanoi	sanoi	sanoi	sanoi			sanoi	Sanoi	sanoi	sanoi			sanoi	sanoi	sanoi	sanoi	sanoi	sanoi	sanoi	sanoi	Sanoi		sanoi	sanoi	sanoi
Hämehen	Hämehen	Hämehen	Hämehen	Hämehen	Hämehen	Itämeren	Hämehen	Hämehen	Hämehen	Hämehen		Hämehen	hämehen	hämehen	hämehen			Hämehen	Hämehen	Hämehen	Hämehen			Hämehen	Hämehen	Hämehen	Hämehen	Hämehen	Hämehen	Itämeren	Hämehen	Hämehen		Hämehen	Hämehen	Hämehen
Henrichi	Heinrichi	Heinrichi	Heinrichi	Heinrichi	Heinrichi	Heinrichi	Heinrichi	Heinrichi	Heinrichi	Heinrichi		Heinnichi	heinrichi	heinrichi	heinrichi			Heinrichi	Heinrichi	Heinrichi	Heinrichi			Heinrichi	Heinrichi	Heinrichi	Heinrichi	Heinrichi	Heinrichi	Heinrichi	Heinrichi	Henrichi		Heinrichi	Heinrichi	Heinrichi
Erichillen	Erichillen	Erichillen	Erichillen	Erichillen	Erichillen	Erichillen	Eirichille	Eirichille	Eirichillen	welelensä		Richillen	erichillen	welielensä	erichillen			welielensä	Eirichillen	Erichillen	Erichillen	Erichillen	Erichillen	Erichillen	Erichillen	Erichillen	Eirichillen	Erichillen	Erichillen	Erichillen	Erichillen	Erichillen		Eerichillen	Erichillen	Erichillen
welielensä:	welielensä:	welielensä:	welielensä:	welielensän:	welielensä:	weliellensän:	weliensä:	weliellensä:	weliensän:	Kuninchaalle:		weljelensa:	weliellensä	kuninchaalle	welielensä			kuninkaalle	welielensan:	welielensä:	welielennsä:	weliellensän	weliellensän,	welielensä:	welielensä:	welielensä:	Welielensän:	weliellensän:	weliellensän:	welielensä:	weliellensän:	weliellensän:		weliellensän:	welielensän:	welielensä:
lähkäm	lähkäm	lähkäm	lähkäm	lähkäm	lähkäm	lähkäm	lähkäm	lähkäm	lähkäm	iouda		lähkäm	läkäin	jouda	lähkän			ionda	lähkäm	lähkam	lähkam	lähkäin	lähkäin	lähkäm	lähkam	lähkäm	lähkäm	lähkäm	lähkäm	lähkäm	lähkää	lähkäm		lähkäm	lähkäm	lähkam
maita	maita	maita	maita	maita	maita	maita	maita	maita	maita	maita		maita	maita	maita	maita			maita	maita	maita	maita	maita	maita	maita	maita	maita	maita	maita	maita	maita	maita	maita		maita	maita	maita
ristimähän	ristimähän	ristimähän	ristimähän	ristimähän	ristimähän	ristimähän	ristimähän	ristimähän	ristimähän	ristimähän		ristimähän	ristmähän	ristimähän	ristimähän			ristimähän	ristimähän	ristimähän	ristimähän	ristimähän	ristimähän	ristimähän	ristimähän	ristimähän	ristimähän	ristimähän	ristimähän	ristimähän	ristimähän	ristimähän		ristimähän	ristimähän	ristimähän
maillen	maillen	maillen	maillen	maillem	maillen	maillen	maillen	maillen	maillen	mailles		maillen	maillen	mailles	maillen			maille	maihen	maillen	maillen	maille	maille	maille	maillen	maillen	maillen	maillen	maillen	maillen	maillen	mailleen		maillen	maillen	maillen
ristimättömillen	ristimättömillen	ristimättömillen	ristimättömillen	ristimättömillen;	ristimättömillen	ristimättömillen	ristimättömillen	ristimättömillen	ristimättömillen	ristimättömillen		ristimättomille	ristimättömillen	ristimättömillen	ristimättömillen			ristimättömillen	ristimättomillen	ristimättömillen	ristimättömillen	ristimättömillen	ristimättömillen,	ristimättömillen	ristimättömillen	ristimättömillen	ristimättömillen	ristimättömillen	ristimättömillen	ristimättömillen	ristimättömillen;	ristimättömillen;		ristimättömillen;	ristimättömillen	ristimättömillen
paicoillen	paicoillen	paicoillen	paicoillen		paicoillen	paicoillen	paicoillen	paicoillen	paicoillen	paicoille		paicoille	paicoillen	paicoille	paicoillen			paicoille	paicoillen	paicoillen	paicoillen	paicoillen	paikoillen	paicoillen	paicoillen	paikoillen	paicoillen	paicoillen	paicoillen	paicoillen					paicollen	paicoillen
papittomillen;	papittomillen;	papittomillen;	papittomillen		papittomillen;	papittomillen;	papittomillen;	papittomillen;	papittomillen;	papittomillen;		papittomili	papittomillen	papittomillen	papittomillen			papittomillen;	papittomillen;	papittomillen;	papittomillen;	papittomille	papittomille.	papittomillen;	papittomillen;	papittomillen;	papittomillen;	papittomillen;	papittomillen;	papittomillen					papittomillen;	papittomillen;
ne					he																			he	he	he										
cohta					cohta																			cohta	cohta	cohta										
ajaman					ajaman																			ajaman	ajaman	ajaman										
läxit					läxit																			läxit	läxit	läxit										
aijoit					aijoit																			aijoit	aijoit	ajjoit										
nijn					nijn																			niin	niin	nijn										
päiwä					päiwä																			päiwä	päiwä	päiwä										
keväistä					kewäistä																			keväistä	keväistä	keväistä										
caxi					caxi																			caxi	caxi	caxi										
yötä					yötä																			yötä	yötä	yötä										
järiestenzen;					järiestenzen;																			järintenzen;	järintenzen;	järiestenzen;										
sanoi	sanoi	sanoi	sanoi	sanoi	sanoi	sanoi	sanoi	Sanoi	sanoi	sanoi		sanoi	sano	sanoi	sanoi			sanoi	Sanoi	sanoi	sanoi	sanoi	Sanoi	sanoi	sanoi	sanoi	sanoi	sanoi	sanoi	sanoi	sanoi	sanoi		sanoi	sanoi	sanoi
	sitt'	sitt	sitt'	sitt'		sitt'	sit	sit	sitt	sitt		sitt	sitt'	sitt	sitt'			sitt	sitt	sitt	sitt	sitt	sitt				sitt	sitt'	sitt'	sitt'	sitt'	sitt'		sitt'	sitt	sitt'
Erich	Erich	Erich	Erich	Erich	Erich	Erich	Eirichi	Eirichi	Eirichi	Erichi		Erichi	erich	erichi	erich			Erichi	Erich	Erich	Erichi	erichi	Erichi	Erich	Erich	Erich	Erich	Erich	Erich	Erich	Erich	Erich		Erich	Erichi	Erich
Kuningas	kuningas	kuningas	kuningas	kuningas	kuningas	Kuningas	kuningas	Kuningas	Kuningas	kuningas		kuningas	kuningas	kuningas	kuningas			kuningas	kuningas	Kuningas	kuningas	kuningas	kuningas	kuningas	kuningas	kuningas	Kuningas	kuningas	kuningas	kunigas	kuningas	kuningas		kuningas	Kuningas	kuningas
Heinrichillen	Henrichillen	Henrichillen	Henrichillen	Henrichillen	Heinrichillen	Henrichillen	Heinrichillen	Heinrichillen	Henrichillen	Heinrichille		Heinrichillen	heinrichille	heinrichille	henrichillen			Henrichille	Henrichillen	Henrichillen	Heinrichille	Heinrichillen	Heinrichillen	Heinrichillen	Henrichillen	Heinrichillen	Heinrichillen	Heinrichillen	Henrichillen	Heinrichillen	Henrichillen	Henrichillen		Heinrichillen	Heinrichillen	Henrichillen
weljellensän:	weliellensen:	weliellensen:	weliellensen:	weliellensen:	welijellensä:	weliellesen:	weliellensen	weliellensen	weliellensen	weliellensen:		weliellensä;	weliellensän	weliellensen	welielensä			weliellensen:	Weliellesen:	welielles:	weliellesen:	weliellensen	weliellensen	weljellensän:	weljelensän:	weljellensän:	Welielensen:	weliellensen:	weliellensen:	weliellensen:	weliellensen:	weliellesen:		weliellensen:	weliellensen:	weliellesen:
	änd'	änd	änd'	änd'		änd'	änd	änd	änd			jät	änd		änd'				änd	änd'	änd'	sano	and				änd'	änd'	änd'	änd'	änd'	and'		änd'	änd'	änd'
	on	on	on	on		on	on	on	on	On		on	on	on	on			On	on	on	on	on	on				on	on	on	on	on	on		on	on	on
	järwet	järvet	järueet	jäneet		järvet	järvet	järvet	järvet	järvet		jänneet	järvet	järvet	järvet			järvet	järvet	järwet	järvet	järvet	järvet				järvet	järvet	järvet	järwet	jääneet	jäneet		järwet	järwet	järwet
	jätämättä	jätämättä	jätämättä	jätämättä		jätämättä	jätämättä	jätämättä	jätämättä	jätämättä		jätämättä	jätämättä	jätämättä	jätämättä			jätämättä	jätämättä	jätämättä	jätämättä	jätämättä	jätämättä				jätämättä	jätämättä	jätämättä	jätämättä	jätämättä	jätämättä		jätämättä	jätämättä	jätämättä
	sulan	sulan	sulan	sulan		sulan	sulan	sulan	sulan	sulan		sula	sulan	sulan	sulan			sulan	sulan	sulan	sulan	sukun	sukun				sulan	sulan	sulan	sulan	sulon	sulan		sulan	sulam	sulan
	on	on	on	on		on	on	on	on	on		on	on	on	on			on	on	on	on	on	ois				on	on	on	on	on	on		on	on	on
												jåki	joki						jåkil								jåki-									
	jåki-kåwerrå;	joki-kåwerån;	jåki-kåwerå;	jåki-kåkenå;		jåki-kåwerrå;	jåki-kåwerrå;	jåki-kåwerrå;	jåki-kåwerrå;	joki-kåwerrå		kåreena;	kåwerrå	joki-kåwerrån	jokikåwerrå			joki-kåverrå	kåiwerrå;	jåki-kåwerrå;	jåki-kåwerrå;	jåku-kåwerrå	jåki-kåwerrå.				kåwerrå;	jåki-kåwerrå;	jåki-kåwerrå;	jåki-kåwerrå;	jåki-kåkenå,	jåki-kåkenå,		jåki-kåwerå;	jåki-Kåwerrå	jåki-kåwerrå;
	sanoi		sanoi	sanoi		sanoi	sanoi	sanoi	sanoi	vastas		sanoi	sanoi		sanoi			vastas	sanoi	sanoi	sanoi	sanoi	sanoi				sanoi	sanoi	sanoi	sanoi	sanoi	sanoi		sanoi	sanoi	sanoi
	Hämehn		Hämehn	Hämehen		Hämehn	Hämehen	Hämehen	Hämehen	Heinrichi		Hämehen	hämehen		hämehen			Heinrichi	Hämehen	Hämehn	Hämehn	tavastian	Tavastian				Hämehen	Hämehn	Hämehen	Hämehn	Hämehen	Hämehen		Hämehen	Hämehn	Hämehn
	Heinrichi:		Heinrichi:	Heinrichi:		Heinrichi:	Heinrichi	Heinrichi	Heinrichi	Pyhä:		Heinnichi:	heinrichi		heinrichi			Pyhä;	Henrichi:	Heinrichi:	Heinrichi:	heinrichi	Heinnichi;				Heinrichi:	Heinrichi:	Heinrichi:	Heinrichi:	Heinrichi:	Heinrichi		Heinrichi:	Heinricki:	Heinrichi:
	kyllä		kyllä	kyllä		kyllä	kyllä	Kyllä	Kyllä	Kyll'me		kyllä	kyllä		kyllä			kyll'	kyllä	kyllä	kyllä	kyllä	kyllä				kyllä	kyllä	Kyllä	kyllä	kyllä	kyllä		kyllä	Kyllä	kyllä
	me		me	me		me	me	me	me			me	me		me			me	me	me	me	me	me				me	me	me	me	me	me		me	me	me
	kierräm		kierräm	kierrän		kierrän	kierräm	kierräm	kierräm	kiertäm		kierräm	kierrän		kierräm			kierräm	kierräm	kierräm	kierräm	kiärrän	känrään				kierräm	kierrän	kärrän	kierräm	kierrän	kierrä		kierän	kierräm	kierräm
	Kiuulon		Kiulon	Kiuulon		Kiuulon	kiuulon	Kiuulon	kiuulon	Kuolonjärven		kunilonjärwen	kiuulon		kiuulon			kuolonjärven	Kiuulon	Kiuulon	Kiwulon	kiuulon	kivulon				Kiuulon	Kiuulon	Kiuulon	kiuulon	Kiuulon	Kiuulon		Kiuulon	Kiwlen	Kiuulon
	järwen		järwen	järwen		järven	järwen	järwen	järwen				järwen		järwen				järwen	järwen	järwen	järven	järven				järwen	järven	järwen	järwen	järven	järven		jälleen	järwen	järwen
	ymbärj		ymbärj	ymbåy		ymbärj	ymbäri	ymbäri	ymbärj	ymbärj			ymbäri		ymbärj			ymbärj	ymbärj	ymbärj	ymbärja	ymbärj	ymbärj				ymbärj	ymbärj	ymbärj	ymbärj	ymbärj	ymbäj		ymbärj	ymbärj	ymbärj
	jåki-kåwerån;		jåki-kåweran	joki-kåverån;		jåki-kåweron;	koki-kåveron;	koki-kåweron;	koki-kåveron;	Koko			joki		jokikåwerrån			koko	koki-kåweron;	jåki-kåwerån;	kåki-kåwerån;	joki-kowerrån	joki-kowerrån				Koki-Kåweron;	joki-kåweron;	joki-kåweron;	jåki-kåweron;	joki-kåveron;	joki-kåweron;		joki-kåweron;	Koki-Kåwerån;	jåki-kåweron,
										kåwerån			kåwerrån	pane				kåmerån																		
	pane	pane	pane	pane		pane	pane	pane	pane	pane		pane	pane	pane	pane			pane	pane	pane	pane	pane	pane				pane	pane	Pane	pane	pane	pane		pane	pane	pane
	warsat	warsat	warsat	warsat		warsat	warsat	warsat		warsal		warsat	warsat	warsal	warsat			warsal	warsat	warsat	warsat	warsat	warsat				warrat	warsat	warsat	warsat	warsat	warsat		warsat	warsat	warsat
	waliaisijn	waliaisihijn	waliaihissijn	waliaihisijn		waliaihisijn	waliaihisin	waliaihisin		waljahaisihijn		waliaihisin	waliahi	waliaihisiin	waliaisijn			waliaihin	waliaihisija	waliaisihijn	waliaisikijn	waliaihisin	waliaihisin				waliaihisijn	waliaihisjin	waliaihisijn	waliaisijn	waliaihisijn	waliaihisijn		waliaihisijn	waliaisihijn	waliaihisijn
													sin										suwi													
	suwi-kunnat	suwi-kunnat	suuel-kunnat	suwi-kunnat		suwi-kunnat	suwi-kunnat	suwi-kunnat		suitsi		suukunnat-kunnat	suvikunnat	suitsi	suwikunnat				suwi-kunnat	suwi-kunnat	isawoi-kunnat	suwi-kunnat	kunnat				suwi-kunnat	suwi-kunnat	suwi-kunnat	suwi-kunnat		suuli-kunnat		suuli-kunnat	sawoi-kunnat	suwi-kunnat
	suitzi	suitzi	suitzi	suitzi		suitzi	suitzi	suitzi		suuhun		suitzi	suitzi	suuhun	suitzi			suitzi	suitzi	suitzi	suitzi	suitzi	suitzi				suitzi	suitzi	sutzi	suitzi	suitzi	suitzi		suitzi	suitzi	suitzi
	suuhun	suuhun	suuhun	suuhun		suuhun	suuhun	suuhun		suiahutas		suuhun	suuhun	sujahuta	suuhun			suuhun	suuhun	suuhun	suuhun	suuhun	suuhun				suuhun	suuhun	suuhun	suuhun	suuhun	suuhun		suuhun	suuhun	suuhun
																		rujhutas																		
	pane	pane	pane	pane		pane	pane	pane		pane		pane	pane	pane	pane			pane	pane	pane	pane	pane	pane				pane	pane	pane	pane	pane	pane		pane	pane	pane
	corjut	corjut	coijut	corjut		corjut	carjut	corjut	corjut	carjat		carjat	curjua	carjat	corjut			carjat	corjut	corjut	corjut	corjut	corjut				corjut	corjut	garjut	corjut	corjut	corjut		coijut	corjut	corjut
	cohdallensan	cohdallensan	cohdallensan	cohdallensan		cohdallensan	cohdallensan	condallensan	cohdallensan	cohdallensan		cohdallenssan	cohdallensan	cohdallensan	cohdallensan			cohdallensan	condohensan	cohdallensan	cohdallensan		cohdallensan				cohdallensan	cohdallensan	cohdallensan	cohdallensan	cohdallensan	cohdollenssan		cohdallensan	cohdallensan	cohdallensan
	saata	saata		saatat		saatat	saatat	saatat	saatat			saatat	saata	saatat	saata			saatat	saatat	saata	saatat		saatat				saatat	saatat	saatat	saata	saatat			saatat	saatot	saatat
	lastut	lastut		lastut		lastut	lastut	lastut	lastut			lastut	lastut	lastut	lastut			lastut	lastut	lastut	vastut		lastut				lastut	lastut	lastut	lastut	lastut			lastut	lastut	lastut
	sariallensan	sariallensan		sariallensan		sariallensan	sariallensan	sariallensan	sariallensan			sanallensa	sarallensan	sarellansan	sarjallensan			sariallensan	sariallensan	sariallensan	sariallensan		sarallensan				harjallensan	sariallensan	sariallensa	sanallensan	sariollesan			pariallesan	sariallensan	pariallensan
	anduroillensan	anduroillensan	anduroillensan	anduroillensan		anduroillensan	anduroillensa	anduroillensan	anduroillensa	anduroillensan		anduroillensan	anduroillensan	andureillensan	anduroillensan			anduroillensan	anduroillensan	anduroillensan	andteillensan		anduroillensan				anduroillensan	aduroillensan	anduroillensan	anduroillensan	anduroillensan	anduroillensan		anduroillensan	andureillensan	anduroillensan
	awahat	awarat	awarat	awarat		awarat	awarat	awarat	awarat	aujarat		awarat	awarat	aujarat	awarat			arjalat	awarat	awarat	awarat	awarat	awarat				awarat	awarat	awarat	avarat	awarat	aneavat		awarat	awarat	awarat
	perällensän	perällensän	perällensän	perällensän		perällensän	perällensän	perällensän	perällensän	perällensän		perällensän	perällensän	perällensä	perällensän			perällensän	perällensän	perällensän	perällensan	perällensän	perällensän				perällensän	perällensän	perällänsän	perällensän	perällensän	perällensän		perällensän	perähensän	perällensän
	pienet	pienet	pienet	pienet		pienet	pienet	pienet		pienet		pienet	pienet	pienet	pienet			pienet	pienet	pienet	pienet	pienet	pienet				pienet	pienet	pienet	pienet	pienet	pienet		pienet	pienet	pienet
	kirjat;	kirjat;	kirjat;	kirjat;		kirjat;	kirjat	kirjat;		kirjat;		kirjat;	kirjat	ciriat	kirjat			kirjat;	kirjat;	kirjat;	kirjat;	kirjat	kirjat				kirjat;	kirjat;	kirjat;	kirjat;	kirjat:	kirjat;		kirjat;	kirjat;	kirjat;
												sijtte																								
												Erichi																								
												kuningas																								
												lausui:																								
												"weickoseni,																								
												waimon																								
												poica																								
												paljon																								
												on																								
												sinne																								
												mennehitä																								
												ei																								
												paljon																								
												palanneita																								
												toki																								
												menä																								
												lähde,																								
												en																								
												tottele																								
												jos																								
												minä																								
												tapettamahan																								
												toinen																								
												jävevi																								
												jälelle"																								
	he	he	he	he		he	he	he	he	He		he	ne	he	he				he	he	he	he	he				he	he	he	he	he	he		ne	he	he
	cohta	cohta	cohta	cohta		cohta	cohta	cohta	cohta	cohta		cohta	cohta	cohta	cohta				kohta	cohta	cohta	cohta	cohta				cohta	cohta	cohta	kohta	cohta	cohta		cohta	cohta	cohta
	ajaman	ajaman	ajaman	ajamahn		ajamahn	ajamahan	ajamahan		ajaman		ajaman	ajaman	ajaman	ajawan				ajamahan	ajaman	ajaman	ajamahan	ajamahan				ajamahn	ajamahn	ajamahn	ajaman	ajamahan	ajamaha		ajamahn	ajaman	ajaman
	läxit	läxit	läxit	läxit		läxit	läxit	läxit		läxit		laxit	läxit	läxit	läxit				läxit	läxit	läxit	läxit	läxit.				läxit	läxit	läxit	läxit	läxit	läxit		läxit	läxit	läxit
	aijoit	aijoit	aijoit	aioit		aioit	aioit	aioit		caxi		aijait	ajoit	caxi	aijoit				aioit	aijoit	ajoit	aioit	Aioit				aioit.	aioit	aioit	aijoit	aioit	ajoit		aioit	aioit	aijoit
	nijn	nijn	nijn	nijn		nijn	nijn	niin		yctä		nijn	niin	yctä	niin				nijn	niin	nijn	hijn	nijn				nijn	nijn	nijn	nijn	nijn	nijn		nijn	nijn	nijn
	päiwä	päiwä	päiwä	päiveä		päiwä	päiwä	päiwä		järiästenzen		päiwä	päivä	järiästenzen	päiwä				päiwä	päiwä	päiwä	päiwä	päivä				päiwä	päiwä	päiwä	päiwä	päiveä	päiweä		päiwä	päiwä	päiwä
	kewäistä	keväistä	kewäistä	kewäistä		kewäistä	kewäistä	kewäistä		aioit		kewäistä	keväistä	aioit	cewäistä				kewäistä	kewäistä	kewäistä	kewäistä	kewäistä				kevväistä	kewäistä	kewäistä	keväista	kewäistä	kewäistä		kewäistä	keväistä	kewäistä
	caxi	caxi	caxi	caxi		caxi	caxi	caxi		nijn		caxi	caxi	nijn	caxi				caxi	caxi	caxi	caxi	caxi				caxi	caxi	caxi	caxi	caxi	caxi		caxi	caxi	caxi
	yctä	yctä	yctä	yctä		yctä	yctä	yctä		päivä		yhta	yötä	päivä	yötä				yötä	yctä	yetä	yötä	yötä				yctä	yötä	yctä	yötä	yctä	yctä		yctä	yctä	yctä
	järiästenszen;	järiestenzen;	järiastenszen;	järiästenzen;		järiästenszen;	läriäistenzen;	läriästenzen;		keväistä;		järiastenszen;	järjästenszen	keväistä	järästenßen				järiästenszen;	järiästenszen;	järiästenszen;	jäiwi	jäwi				järiästenzen;	järiästenszen;	järiästenszen;	järiästenszen;	järiästenszen;	jänästenzen;		järjiästänzen;	järiästenzen;	järiastenszen;
																						ästenzen	ästenzen													
	sanoi	sanoi	sanoi	sanoi		sanoi	sanoi	Sanoi		sanoi		sanoi		sanoi	sanoi			sanoi	sanoi	sanoi	sanoi	sanoi	sanoi				sanoi	sanoi	sanoi	sanoi	sanoi	sanoi		sanoi	sanoi	sanoi
	Erich	Erich	Erich	Erich		Erich	Eirich	Eirich		Erichi		Erich		erichi	erich			Erichi	Erich	Erich	Erichi	Erichi	Erichi				Erich	Erich	Erich	Erich	Erich	Erich		Erich	Erichi	Erich
	kuningas	kuningas	kuningas	kuningas		kuningas	kuningas	Kuningas		kuningas		kuningas:		kuningas	kuningas			kuningas	Kuningas	kuningas	kuningas	kuningas	kuningas				Kuningas	kuningas	kuningas	kuningas	kuningas	kuningas		kuningas	kuningas	kuningas
	Heinrichillen	Henrichillen	Henrichillen	Herichillen		Henrichillen	Heinrichillen	Heinrichillen		Heinrichillen				heinrichillen	heinrichillen			Heinrichillen	Henrichillen	Henrichillen	Henrichillen	Heinrichillen	Heinrichillen				Heirichillen	Heinrichillen	Heinrichillen	Henrichillen	Henrichillen	Henrichillen		Henrichillen	Heinrichillen	Henrichillen
	welielenszän:	weljellensän:	welielenszän:	welielensän:		welielenszän:	weliellenszän:	weliellenszän;		welielenzän:				welielenzän	welielenßän			weliellenzän:	welielenzän;	welielenzän:	welielenzän:	veljellenzä	veljellenzä				Welielenszän:	welielenszän:	welielenszän:	welielenszän:	welielenszän;	welielenszän		welielenszän:	welielenzän:	welielenszän:
jo	jo	jo	jo	jo	jo	jo	jo	jo		jo		jo	jo	jo	jo			jo	jo	jo	jo	jo	jo	jo	jo	jo	jo	jo	jo	jo	ja	jo		jo	jo	jo
täszä	täszä	täszä	täszä	täszä	täszä	täszä	tässä	tässä		täszä		tässä	täszä	täszä	täßä			tässä	tässä	täszä	täszä	täjzä	täßä	täszä	täszä	täszä	täszä	täszä	täszä	täszä	tässä	tässä		täszä	tästä	täszä
tulepi	tulepi	tulepi	tulepi	tulepi	tulepi	tulep	tulepi	tulepi		tulepi		tulepi	tulepi	tulepi	tulepi			tulepi	tulepi	tulepi	tulepi	tulee	tulee	tulepi	tulepi	tulepi	tulepi	tulepi	tulepi	tulepi	tulepi	tulepi		tulepi	tulepi	tulepi
